,Dead Sea_The Lumineers
0,stood
1,alone
2,upon
3,platform
4,vain
5,puerto
6,ricans
7,playing
8,salsa
9,rain
10,open
11,doors
12,manual
13,locks
14,fast
15,food
16,parking
17,lots
18,headed
19,west
20,man
21,move
22,new
23,york
24,lied
25,needed
26,truth
27,oh
28,need
29,somebody
30,needed
31,someone
32,could
33,trust
34,don’t
35,gamble
36,would
37,bet
38,us
39,like
40,dead
41,sea
42,told
43,like
44,dead
45,sea
46,you’ll
47,never
48,sink
49,oh
50,lord
51,like
52,dead
53,sea
54,woah
55,i’m
56,like
57,dead
58,sea
59,finest
60,words
61,ever
62,said
63,honey
64,can’t
65,see
66,born
67,dead
68,sea
69,told
70,good
71,runnin'
72,away
73,domestic
74,life
75,never
76,suited
77,like
78,suitcase
79,left
80,clothes
81,back
82,took
83,rest
84,took
85,nap
86,yes
87,times
88,live
89,somebody
90,else
91,father
92,died
93,decided
94,live
95,felt
96,felt
97,time
98,i’m
99,glad
100,cause
101,cats
102,that’s
103,right
104,like
105,dead
106,sea
107,told
108,like
109,dead
110,sea
111,you’ll
112,never
113,sink
114,oh
115,lord
116,like
117,dead
118,sea
119,woah
120,i’m
121,like
122,dead
123,sea
124,finest
125,words
126,ever
127,said
128,honey
129,can’t
130,see
131,born
132,dead
133,sea
134,bridge
135,i've
136,defeated
137,you’re
138,message
139,heed
140,would
141,stay
142,would
143,stay
144,night
145,oh
146,dead
147,sea
148,told
149,like
150,dead
151,sea
152,you’ll
153,never
154,sink
155,oh
156,lord
157,i'm
158,dead
159,sea
160,woah
161,i’m
162,like
163,dead
164,sea
165,finest
166,words
167,ever
168,said
169,honey
170,can’t
171,see
172,born
173,dead
174,sea
