,Time to Dance_Panic! at the Disco
0,well
1,bleeding
2,ballroom
3,floor
4,attention
5,'cause
6,that's
7,ridiculously
8,odd
9,well
10,sure
11,gonna
12,get
13,here's
14,setting
15,fashion
16,magazines
17,line
18,walls
19,walls
20,line
21,bullet
22,holes
23,composure
24,posture
25,oh
26,pulling
27,trigger
28,pulling
29,trigger
30,wrong
31,composure
32,posture
33,oh
34,pulling
35,trigger
36,pulling
37,trigger
38,wrong
39,postchorus
40,give
41,envy
42,give
43,malice
44,give
45,attention
46,give
47,envy
48,give
49,malice
50,baby
51,give
52,break
53,say
54,shotgun
55,say
56,wedding
57,shotgun
58,wedding
59,shotgun
60,wedding
61,choose
62,role
63,she'll
64,play
65,make
66,sincere
67,cry
68,cry
69,give
70,break
71,believe
72,tears
73,teeth
74,right
75,blood
76,feet
77,boys
78,boys
79,hiding
80,estrogen
81,wearing
82,aubergine
83,dreams
84,give
85,break
86,composure
87,posture
88,oh
89,pulling
90,trigger
91,pulling
92,trigger
93,wrong
94,composure
95,posture
96,oh
97,pulling
98,trigger
99,pulling
100,trigger
101,wrong
102,come
103,screaming
104,photo
105,op
106,come
107,come
108,screaming
109,screaming
110,screaming
111,photo
112,op
113,boys
114,boys
115,baby
116,boys
117,boys
118,boys
119,boys
120,baby
121,boys
122,boys
123,give
124,envy
125,give
126,malice
127,give
128,attention
129,give
130,envy
131,give
132,malice
133,baby
134,give
135,break
136,say
137,shotgun
138,say
139,wedding
140,shotgun
141,wedding
142,shotgun
143,wedding
144,boys
145,boys
146,hiding
147,estrogen
148,boys
149,boys
150,boys
151,boys
152,hiding
153,estrogen
154,wearing
155,aubergine
156,dreams
