,You And Your Heart_Jack Johnson
0,watch
1,say
2,blame
3,everyone
4,broken
5,king
6,watch
7,change
8,frame
9,watch
10,take
11,aim
12,sum
13,everything
14,heart
15,feel
16,far
17,apart
18,choose
19,take
20,got
21,break
22,make
23,feel
24,hard
25,lay
26,street
27,like
28,broken
29,glass
30,reflecting
31,pieces
32,sun
33,flame
34,got
35,people
36,passing
37,know
38,like
39,easy
40,easy
41,heart
42,feel
43,far
44,apart
45,choose
46,take
47,got
48,break
49,make
50,feel
51,hard
52,oh
53,heart
54,feel
55,far
56,apart
57,choose
58,take
59,gotta
60,break
61,make
62,feel
63,hard
64,draw
65,many
66,lines
67,sand
68,lost
69,fingernails
70,hands
71,going
72,scratch
73,backs
74,better
75,hope
76,tide
77,take
78,lines
79,away
80,take
81,lines
82,outro
83,hope
84,tide
85,take
86,lines
87,hope
88,tide
89,take
90,lines
91,away
92,take
93,lines
94,away
