,King of Anything_Sara Bareilles
0,refrain
1,oh
2,oh
3,oh
4,oh
5,oh
6,oh
7,oh
8,oh
9,oh
10,oh
11,oh
12,oh
13,oh
14,oh
15,oh
16,oh
17,keep
18,drinking
19,coffee
20,stare
21,across
22,table
23,look
24,outside
25,many
26,things
27,i'd
28,say
29,able
30,keep
31,quiet
32,count
33,cars
34,pass
35,got
36,opinions
37,man
38,we're
39,entitled
40,'em
41,never
42,asked
43,let
44,thank
45,time
46,try
47,waste
48,mine
49,get
50,fast
51,pre-chorus
52,hate
53,break
54,babe
55,i'm
56,drowning
57,there's
58,one
59,save
60,cares
61,disagree
62,made
63,king
64,anything
65,dare
66,tell
67,died
68,made
69,king
70,anything
71,refrain
72,oh
73,oh
74,oh
75,oh
76,sound
77,innocent
78,full
79,good
80,intent
81,swear
82,know
83,best
84,expect
85,jump
86,board
87,ride
88,delusional
89,sunset
90,i'm
91,one
92,who's
93,lost
94,direction
95,oh
96,never
97,see
98,busy
99,making
100,maps
101,name
102,caps
103,got
104,talking
105,listening
106,cares
107,disagree
108,made
109,king
110,anything
111,dare
112,tell
113,died
114,made
115,king
116,anything
117,bridge
118,life
119,i've
120,tried
121,make
122,everybody
123,happy
124,hurt
125,hide
126,waiting
127,someone
128,tell
129,turn
130,decide
131,refrain
132,oh
133,oh
134,oh
135,oh
136,oh
137,oh
138,oh
139,oh
140,oh
141,oh
142,oh
143,oh
144,oh
145,oh
146,oh
147,oh
148,oh
149,oh
150,oh
151,oh
152,cares
153,disagree
154,made
155,king
156,anything
157,dare
158,tell
159,died
160,made
161,king
162,anything
163,cares
164,disagree
165,made
166,king
167,anything
168,dare
169,tell
170,died
171,made
172,king
173,anything
174,outro
175,let
176,hold
177,crown
178,babe
179,oh
180,oh
181,ahh
