,I Walked_Sufjan Stevens
0,lover
1,look
2,i'm
3,already
4,dead
5,i'm
6,inclined
7,explain
8,could
9,whatever
10,say
11,sorry
12,worst
13,arrived
14,deserve
15,least
16,deserve
17,respect
18,kiss
19,goodbye
20,tell
21,think
22,think
23,could
24,shaken
25,touch
26,breath
27,arm
28,stayed
29,epithet
30,sorry
31,worst
32,arrived
33,i'm
34,floor
35,room
36,made
37,last
38,touch
39,night
40,walked
41,cause
42,walked
43,probably
44,get
45,far
46,sensation
47,said
48,i'm
49,expect
50,something
51,would
52,run
53,bear
54,fault
55,lost
56,i've
57,got
58,nothing
59,left
60,love
61,lover
62,look
63,i'm
64,already
65,dead
66,i've
67,come
68,explain
69,left
70,mess
71,floor
72,went
73,away
74,went
75,crazy
76,wild
77,breast
78,dog
79,ran
80,night
81,knife
82,chest
83,lust
84,loveless
85,life
86,walked
87,cause
88,walked
89,probably
90,get
91,far
92,sensation
93,said
94,i'm
95,expect
96,something
97,would
98,run
99,bear
100,fault
101,lost
102,i've
103,got
104,nothing
105,left
106,love
107,walked
108,cause
109,walked
110,walked
111,cause
112,walked
113,walked
114,cause
115,walked
116,walked
117,cause
118,walked
119,walked
120,cause
121,walked
122,walked
123,cause
124,walked
125,walked
126,cause
127,walked
