,Sorry_Justin Bieber
0,written
1,julia
2,michaels
3,justin
4,tranter
5,justin
6,bieber
7,gotta
8,go
9,get
10,angry
11,honesty
12,know
13,try
14,well
15,apologies
16,hope
17,run
18,time
19,could
20,someone
21,call
22,referee
23,'cause
24,need
25,one
26,shot
27,forgiveness
28,know
29,know
30,made
31,mistakes
32,maybe
33,twice
34,twice
35,mean
36,maybe
37,couple
38,hundred
39,times
40,let
41,oh
42,let
43,redeem
44,oh
45,redeem
46,oh
47,tonight
48,'cause
49,need
50,one
51,shot
52,second
53,chances
54,pre-chorus
55,yeah
56,late
57,say
58,sorry
59,'cause
60,i'm
61,missing
62,body
63,late
64,say
65,sorry
66,yeah
67,know
68,let
69,late
70,say
71,i'm
72,sorry
73,i'm
74,sorry
75,yeah
76,sorry
77,yeah
78,sorry
79,yeah
80,know
81,let
82,late
83,say
84,i'm
85,sorry
86,i'll
87,take
88,every
89,single
90,piece
91,blame
92,want
93,know
94,innocent
95,one
96,game
97,two
98,i'll
99,go
100,i'll
101,go
102,go
103,go
104,spill
105,truth
106,say
107,words
108,forget
109,pre-chorus
110,late
111,say
112,sorry
113,'cause
114,i'm
115,missing
116,body
117,late
118,say
119,sorry
120,yeah
121,know
122,let
123,late
124,say
125,i'm
126,sorry
127,bridge
128,i'm
129,trying
130,get
131,back
132,'cause
133,i'm
134,missing
135,body
136,late
137,say
138,sorry
139,yeah
140,know
141,let
142,late
143,say
144,i'm
145,sorry
146,i'm
147,sorry
148,yeah
149,sorry
150,oh
151,sorry
152,yeah
153,know
154,let
155,late
156,say
157,i'm
158,sorry
159,i'm
160,sorry
161,yeah
162,sorry
163,oh
164,sorry
165,yeah
166,know
167,let
168,late
169,say
170,i'm
171,sorry
