,The Heart Wants What It Wants_Selena Gomez
0,heart
1,wants
2,heart
3,wants
4,heart
5,wants
6,wants
7,wants
8,wants
9,got
10,sipping
11,something
12,can't
13,compare
14,nothing
15,i've
16,ever
17,known
18,i'm
19,hoping
20,fever
21,i'll
22,survive
23,know
24,i'm
25,acting
26,bit
27,crazy
28,strung
29,little
30,bit
31,hazy
32,hand
33,heart
34,i'm
35,praying
36,i'm
37,gonna
38,make
39,alive
40,prechorus
41,bed's
42,getting
43,cold
44,future
45,hold
46,unclear
47,i'm
48,alive
49,call
50,i'll
51,bet
52,odds
53,save
54,advice
55,'cause
56,hear
57,might
58,right
59,care
60,there's
61,million
62,reasons
63,give
64,heart
65,wants
66,wants
67,heart
68,wants
69,wants
70,got
71,scattered
72,pieces
73,shining
74,like
75,stars
76,screaming
77,lighting
78,like
79,venus
80,disappear
81,make
82,wait
83,every
84,second's
85,like
86,torture
87,heroin
88,drip
89,finding
90,way
91,let
92,go
93,baby
94,baby
95,can't
96,escape
97,prechorus
98,bed's
99,getting
100,cold
101,future
102,hold
103,unclear
104,i'm
105,alive
106,call
107,i'll
108,bet
109,odds
110,save
111,advice
112,'cause
113,hear
114,might
115,right
116,care
117,there's
118,million
119,reasons
120,give
121,heart
122,wants
123,wants
124,heart
125,wants
126,wants
127,heart
128,wants
129,wants
130,heart
131,wants
132,wants
133,modern
134,fairytale
135,happy
136,endings
137,wind
138,sails
139,can't
140,imagine
141,life
142,without
143,breathless
144,moments
145,breaking
146,prechorus
147,bed's
148,getting
149,cold
150,future
151,hold
152,unclear
153,i'm
154,alive
155,call
156,i'll
157,bet
158,odds
159,save
160,advice
161,'cause
162,hear
163,might
164,right
165,care
166,there's
167,million
168,reasons
169,give
170,heart
171,wants
172,wants
173,heart
174,wants
175,wants
176,heart
177,wants
178,wants
179,heart
180,wants
181,wants
182,heart
183,wants
184,wants
185,baby
186,heart
187,wants
188,wants
189,baby
190,wants
191,wants
192,wants
193,wants
194,heart
195,wants
196,wants
197,baby
198,heart
199,wants
200,wants
201,baby
