,City_Sara Bareilles
0,there's
1,harvest
2,saturday
3,night
4,bars
5,filled
6,perfume
7,hitching
8,ride
9,place
10,stand
11,one
12,night
13,get
14,gone
15,clear
16,conversation
17,ain't
18,thing
19,boys
20,listen
21,sing
22,feel
23,like
24,singing
25,tonight
26,songs
27,deep
28,city
29,lights
30,girl
31,could
32,get
33,lost
34,tonight
35,i'm
36,finding
37,every
38,reason
39,gone
40,nothing
41,hold
42,could
43,hold
44,situation's
45,always
46,got
47,wolves
48,clothes
49,whispering
50,hollywood's
51,name
52,stealing
53,gold
54,silver
55,see
56,deep
57,city
58,lights
59,girl
60,could
61,get
62,lost
63,tonight
64,i'm
65,finding
66,every
67,reason
68,gone
69,nothing
70,hold
71,could
72,hold
73,bridge
74,calling
75,somebody
76,save
77,feel
78,like
79,i'm
80,fading
81,away
82,gone
83,calling
84,somebody
85,save
86,feel
87,like
88,i'm
89,fading
90,deep
91,city
92,lights
93,girl
94,could
95,get
96,lost
97,tonight
98,i'm
99,finding
100,every
101,reason
102,gone
103,nothing
104,hold
105,could
106,hold
