,Only the Young_Brandon Flowers
0,look
1,back
2,silence
3,cradle
4,whole
5,life
6,distance
7,losing
8,greatest
9,prize
10,nothing
11,easy
12,nothing
13,sacred
14,bow
15,break
16,happened
17,time
18,people
19,lovely
20,ever
21,seen
22,tonight
23,baby
24,start
25,laughing
26,open
27,air
28,another
29,dream
30,tonight
31,maybe
32,start
33,young
34,break
35,away
36,break
37,away
38,lost
39,wind
40,blow
41,young
42,break
43,away
44,break
45,away
46,lost
47,wind
48,blows
49,mother
50,cold
51,father
52,thy
53,done
54,thunder
55,lightning
56,crashing
57,got
58,run
59,direct
60,sun
61,redemption
62,keeps
63,covers
64,clean
65,tonight
66,baby
67,start
68,young
69,break
70,away
71,break
72,away
73,lost
74,wind
75,blows
76,young
77,break
78,away
79,break
80,away
81,lost
82,wind
83,blows
84,bridge
85,sun
86,shine
87,sun
88,shine
89,looking
90,sign
91,caught
92,lie
93,ha
94,ha
95,ha
96,ha
97,ha
98,ha
99,ha
100,ha
101,ha
102,ha
103,young
104,break
105,away
106,break
107,away
108,lost
109,wind
110,blows
111,young
112,break
113,away
114,break
115,away
116,lost
117,wind
118,blows
119,outro
120,young
121,lost
122,wind
123,blows
124,young
125,ha
126,ha
127,ha
128,ha
129,ha
130,lost
131,wind
132,blows
