,See You Soon_Coldplay
0,lost
1,trust
2,never
3,never
4,break
5,back
6,ever
7,see
8,answer
9,bulletproof
10,vest
11,windows
12,closed
13,i'll
14,best
15,i'll
16,see
17,soon
18,telescope
19,lens
20,want
21,friends
22,i'll
23,see
24,soon
25,came
26,came
27,snapping
28,heels
29,come
30,snapping
31,heels
32,break
33,back
34,ever
35,hear
36,answer
37,bulletproof
38,vest
39,windows
40,closed
41,i'll
42,best
43,i'll
44,see
45,soon
46,telescope
47,lens
48,want
49,friends
50,i'll
51,see
52,soon
53,i'll
54,see
55,soon
56,know
57,lost
58,trust
59,know
60,lost
61,trust
62,know
63,lose
64,trust
65,know
66,lost
67,trust
