,Until the End of Time_Justin Timberlake
0,woke
1,morning
2,heard
3,tv
4,saying
5,something
6,disaster
7,world
8,made
9,wonder
10,i'm
11,going
12,there's
13,much
14,darkness
15,world
16,see
17,beauty
18,left
19,girl
20,give
21,let's
22,know
23,i'll
24,alright
25,'cause
26,love
27,life
28,well
29,would
30,enough
31,end
32,time
33,rest
34,weary
35,heart
36,relax
37,mind
38,'cause
39,i'm
40,gonna
41,love
42,girl
43,end
44,time
45,refrain
46,got
47,singing
48,oh
49,whoa
50,yeah
51,oh
52,whoa
53,yeah
54,everybody
55,sing
56,oh
57,whoa
58,yeah
59,everybody
60,singing
61,oh
62,whoa
63,yeah
64,ever
65,wondering
66,way
67,i'm
68,feeling
69,well
70,baby
71,girl
72,ain't
73,question
74,around
75,blessing
76,sick
77,tired
78,trying
79,save
80,world
81,want
82,spend
83,time
84,girl
85,give
86,lets
87,know
88,we'll
89,alright
90,'cause
91,love
92,life
93,know
94,would
95,enough
96,end
97,time
98,rest
99,weary
100,heart
101,rest
102,heart
103,relax
104,mind
105,relax
106,mind
107,'cause
108,'cause
109,i'm
110,gonna
111,love
112,girl
113,end
114,time
115,refrain
116,girl
117,got
118,singing
119,oh
120,whoa
121,yeah
122,oh
123,whoa
124,yeah
125,everybody
126,sing
127,oh
128,whoa
129,yeah
130,everybody
131,singing
132,oh
133,whoa
134,yeah
135,bridge
136,one's
137,lovers
138,let
139,hear
140,say
141,yeah
142,yeah
143,yeah
144,yeah
145,yeah
146,yeah
147,one's
148,lovers
149,let
150,hear
151,say
152,yeah
153,yeah
154,yeah
155,yeah
156,one's
157,lovers
158,let
159,hear
160,say
161,yeah
162,yeah
163,yeah
164,yeah
165,yeah
166,yeah
167,yeah
168,yeah
169,one's
170,lovers
171,let
172,hear
173,say
174,yeah
175,yeah
176,yeah
177,yeah
178,break
179,one
180,time
181,refrain
182,oh
183,whoa
184,yeah
185,oh
186,whoa
187,oh
188,whoa
189,whoa
190,yeah
191,oh
192,whoa
193,outro
194,'cause
195,love
196,life
197,would
198,enough
199,end
200,time
