,All Along_Kid Cudi
0,hey
1,ma-ma-ma
2,ma-moon
3,hey
4,ma-ma-ma
5,ma-moon
6,days
7,change
8,attitude
9,i'm
10,messy
11,home
12,eat
13,lot
14,junk
15,food
16,nights
17,change
18,nightmares
19,dream
20,reality
21,dream
22,along
23,along
24,guess
25,i'm
26,meant
27,alone
28,along
29,along
30,guess
31,i'm
32,meant
33,alone
34,yeah
35,weeks
36,change
37,rumors
38,change
39,i'm
40,addicted
41,highs
42,would
43,like
44,know
45,months
46,change
47,love
48,point
49,views
50,want
51,need
52,need
53,hates
54,need
55,hates
56,know
57,along
58,along
59,know
60,i'm
61,meant
62,alone
63,crazy
64,along
65,along
66,knew
67,meant
68,alone
69,yeah
70,bridge
71,suppose
72,somehow
73,lionhearted
74,failed
75,win
76,villain
77,strangers
78,voted
79,suppose
80,somehow
81,lionhearted
82,failed
83,smile
84,villain
85,strangers
86,voted
87,along
88,along
89,guess
90,i'm
91,meant
92,alone
93,along
94,along
95,guess
96,i'm
97,meant
98,alone
99,yeah
