,Glycerine_Bush
0,must
1,skin
2,i'm
3,sinking
4,must
5,real
6,'cause
7,feel
8,mind
9,kind
10,time
11,wonder
12,everything
13,gone
14,white
15,everything's
16,grey
17,away
18,want
19,remember
20,i'll
21,never
22,forget
23,let
24,days
25,go
26,glycerine
27,glycerine
28,i'm
29,never
30,alone
31,i'm
32,alone
33,time
34,one
35,lie
36,live
37,wheel
38,everyone
39,steals
40,rise
41,like
42,strawberry
43,fields
44,treated
45,bad
46,bruise
47,face
48,love
49,got
50,beautiful
51,taste
52,let
53,days
54,go
55,could've
56,easier
57,change
58,though
59,wanted
60,easier
61,three
62,old
63,friend
64,fear
65,glycerine
66,glycerine
67,let
68,days
69,go
70,glycerine
71,let
72,days
73,go
74,glycerine
75,glycerine
76,glycerine
77,glycerine
78,bad
79,moon
80,white
81,bad
82,moon
83,white
84,falls
85,around
86,needed
87,wanted
88,us
89,less
90,could
91,kiss
92,regress
93,might
94,clear
95,simple
96,plain
97,well
98,that's
99,fine
100,that's
101,one
102,names
103,let
104,days
105,go
106,could've
107,easier
108,glycerine
109,glycerine
110,glycerine
111,glycerine
