,Warning Sign_Coldplay
0,warning
1,sign
2,missed
3,good
4,part
5,realized
6,started
7,looking
8,bubble
9,burst
10,started
11,looking
12,excuses
13,pre-chorus
14,come
15,i've
16,gotta
17,tell
18,state
19,i'm
20,i've
21,gotta
22,tell
23,loudest
24,tones
25,started
26,looking
27,warning
28,sign
29,truth
30,miss
31,yeah
32,truth
33,miss
34,warning
35,sign
36,came
37,back
38,haunt
39,realized
40,island
41,passed
42,island
43,discover
44,pre-chorus
45,come
46,i've
47,gotta
48,tell
49,state
50,i'm
51,i've
52,gotta
53,tell
54,loudest
55,tones
56,started
57,looking
58,warning
59,sign
60,truth
61,miss
62,yeah
63,truth
64,miss
65,i'm
66,tired
67,let
68,go
69,outro
70,crawl
71,back
72,open
73,arms
74,yes
75,crawl
76,back
77,open
78,arms
79,crawl
80,back
81,open
82,arms
83,yes
84,crawl
85,back
86,open
87,arms
