,Unconditionally_Katy Perry
0,oh
1,get
2,close
3,oh
4,almost
5,see
6,what's
7,really
8,inside
9,insecurities
10,dirty
11,laundry
12,never
13,made
14,blink
15,one
16,time
17,unconditional
18,unconditionally
19,love
20,unconditionally
21,fear
22,let
23,go
24,free
25,love
26,unconditionally
27,come
28,need
29,apologies
30,know
31,worthy
32,i'll
33,take
34,bad
35,days
36,good
37,walk
38,storm
39,would
40,i'd
41,love
42,love
43,unconditional
44,unconditionally
45,love
46,unconditionally
47,fear
48,let
49,go
50,free
51,love
52,unconditionally
53,open
54,heart
55,let
56,begin
57,open
58,heart
59,let
60,begin
61,open
62,heart
63,let
64,begin
65,open
66,heart
67,bridge
68,acceptance
69,key
70,truly
71,free
72,unconditional
73,unconditionally
74,love
75,unconditionally
76,fear
77,let
78,go
79,free
80,'cause
81,love
82,unconditionally
83,oh
84,yeah
85,outro
86,love
87,unconditionally
88,love
89,love
90,unconditionally
91,produced
92,max
93,dr
94,luke
