,I Follow You_Melody's Echo Chamber
0,wrong
1,cold
2,hoping
3,might
4,go
5,never
6,showed
7,much
8,cared
9,going
10,follow
11,pretend
12,want
13,living
14,days
15,thought
16,trust
17,enough
18,stupid
19,things
20,things
21,always
22,time
23,always
24,knew
25,long
26,since
27,gone
28,thinking
29,alone
30,never
31,showed
32,much
33,scared
34,going
35,follow
36,pretend
37,need
38,living
39,days
40,thought
41,trust
42,enough
43,stupid
44,things
45,things
46,always
47,time
48,always
49,knew
50,need
51,someone
52,close
53,night
54,demonds
55,slick
56,pillow
57,want
58,someone
59,comes
60,goes
61,forever
62,need
63,stay
64,show
65,love
66,need
67,want
68,need
69,want
