,Heartbeat_The Fray
0,we're
1,open
2,bed
3,truck
4,highway
5,rain
6,coming
7,we're
8,run
9,think
10,feel
11,breath
12,body
13,got
14,keep
15,running
16,'til
17,see
18,sun
19,pre-chorus
20,got
21,fire
22,burning
23,rain
24,thought
25,went
26,burning
27,look
28,back
29,anything
30,'cause
31,love
32,someone
33,love
34,love
35,someone
36,love
37,feel
38,heartbeat
39,coming
40,around
41,coming
42,around
43,coming
44,around
45,love
46,somebody
47,love
48,got
49,love
50,somebody
51,love
52,feeling
53,heartbeat
54,i'm
55,trying
56,put
57,back
58,together
59,got
60,story
61,i'm
62,trying
63,tell
64,right
65,got
66,kerosene
67,desire
68,i'm
69,trying
70,start
71,flame
72,heart
73,night
74,pre-chorus
75,oh
76,got
77,fire
78,burnin'
79,rain
80,thought
81,went
82,burnin'
83,look
84,back
85,anything
86,'cause
87,love
88,someone
89,love
90,love
91,someone
92,love
93,feel
94,heartbeat
95,coming
96,around
97,coming
98,around
99,coming
100,around
101,love
102,somebody
103,love
104,got
105,love
106,somebody
107,love
108,feeling
109,heartbeat
110,bridge
111,know
112,memory
113,rushing
114,mind
115,want
116,kiss
117,scars
118,tonight
119,got
120,try
121,got
122,let
123,let
124,feel
125,heartbeat
126,coming
127,around
128,coming
129,around
130,coming
131,around
132,love
133,somebody
134,love
135,got
136,love
137,somebody
138,love
139,feeling
140,heartbeat
141,outro
142,oh
143,yeah
144,oh
145,yeah
146,heartbeat
