,Laura_Girls
0,start
1,used
2,friends
3,run
4,pretend
5,see
6,know
7,hate
8,tried
9,tough
10,tried
11,mean
12,want
13,like
14,hope
15,listen
16,i'm
17,trying
18,say
19,reach
20,touch
21,i'm
22,right
23,want
24,fight
25,anymore
26,really
27,want
28,friend
29,forever
30,friend
31,end
32,know
33,i've
34,made
35,mistakes
36,i'm
37,asking
38,give
39,break
40,really
41,want
42,friend
43,forever
44,friends
45,forever
46,bitch
47,i've
48,ass
49,want
50,point
51,finger
52,know
53,like
54,want
55,late
56,want
57,say
58,i'm
59,sorry
60,hope
61,listen
62,i'm
63,trying
64,say
65,outro
66,laura
67,baby
68,i'm
69,right
70,want
71,fight
72,anymore
73,really
74,want
75,friend
76,forever
77,friend
78,end
79,know
80,i've
81,made
82,mistakes
83,i'm
84,asking
85,give
86,break
87,really
88,want
89,friend
90,forever
91,friends
92,forever
