,For the First Time_The Script
0,laid
1,bed
2,broken
3,heart
4,i'm
5,drinking
6,jack
7,alone
8,local
9,bar
10,know
11,got
12,mad
13,situation
14,things
15,frustration
16,tryna
17,make
18,work
19,man
20,times
21,hard
22,needs
23,can't
24,seem
25,find
26,time
27,got
28,new
29,job
30,unemployment
31,line
32,know
33,got
34,mess
35,god's
36,test
37,someone
38,help
39,us
40,'cause
41,we're
42,best
43,tryna
44,make
45,work
46,man
47,times
48,hard
49,we're
50,gonna
51,start
52,drinking
53,old
54,cheap
55,bottles
56,wine
57,shit
58,talking
59,night
60,saying
61,things
62,yeah
63,we're
64,smiling
65,we're
66,close
67,tears
68,even
69,years
70,got
71,feeling
72,we're
73,meeting
74,first
75,time
76,line
77,dole
78,head
79,held
80,high
81,lost
82,job
83,lose
84,pride
85,know
86,we're
87,going
88,make
89,work
90,hurts
91,pick
92,get
93,kicked
94,dirt
95,tryna
96,make
97,work
98,man
99,times
100,hard
101,we're
102,gonna
103,start
104,drinking
105,old
106,cheap
107,bottles
108,wine
109,shit
110,talking
111,night
112,things
113,yeah
114,we're
115,smiling
116,we're
117,close
118,tears
119,even
120,years
121,got
122,feeling
123,we're
124,meeting
125,first
126,time
127,drinking
128,old
129,cheap
130,bottles
131,wine
132,shit
133,talking
134,night
135,saying
136,things
137,we're
138,smiling
139,we're
140,close
141,tears
142,even
143,years
144,got
145,feeling
146,we're
147,meeting
148,first
149,time
150,bridge
151,yeah
152,first
153,time
154,oh
155,first
156,time
157,yeah
158,first
159,time
160,got
161,feeling
162,we're
163,meeting
164,first
165,time
166,outro
167,oh
168,times
169,hard
170,yeah
171,they're
172,making
173,us
174,crazy
175,give
176,baby
177,oh
178,times
179,hard
180,yeah
181,they're
182,making
183,us
184,crazy
185,give
186,baby
187,oh
188,times
189,hard
190,yeah
191,they're
192,making
193,us
194,crazy
195,give
196,baby
197,oh
198,times
199,hard
200,yeah
201,they're
202,making
203,us
204,crazy
205,give
206,baby
