,I Belong in Your Arms_Chairlift
0,crossing
1,heart
2,open
3,wide
4,crystal
5,clover
6,honestly
7,dedicated
8,hold
9,pre-chorus
10,swear
11,god
12,double
13,knot
14,would
15,stole
16,tonight
17,ah
18,ah
19,waste
20,time
21,ah
22,ah
23,'cause
24,world
25,goes
26,without
27,us
28,matter
29,silhouettes
30,regrets
31,i'm
32,melting
33,'cause
34,i-i-i
35,belong
36,arms
37,i-i-i
38,belong
39,arms
40,feelings
41,good
42,nothing
43,say
44,want
45,head
46,shoulder
47,banana
48,split
49,honestly
50,remote
51,controller
52,ah
53,ah
54,pre-chorus
55,suddenly
56,something
57,something
58,something
59,mind
60,'cause
61,world
62,goes
63,without
64,us
65,matter
66,silhouettes
67,regrets
68,i'm
69,melting
70,'cause
71,i-i-i
72,belong
73,arms
74,i-i-i
75,belong
76,arms
77,bridge
78,ay
79,woo
80,ay
81,'cause
82,world
83,goes
84,without
85,us
86,matter
87,silhouettes
88,regrets
89,i'm
90,melting
91,'cause
92,i-i-i
93,belong
94,arms
95,i-i-i
96,belong
97,arms
98,outro
99,belong
100,belong
