,#9 Dream_John Lennon
0,long
1,ago
2,dream
3,dream
4,know
5,yes
6,know
7,seemed
8,real
9,seemed
10,real
11,took
12,walk
13,street
14,heat
15,whispered
16,trees
17,thought
18,could
19,hear
20,hear
21,hear
22,hear
23,pre-chorus
24,somebody
25,call
26,name
27,john
28,started
29,rain
30,john
31,two
32,spirits
33,dancing
34,strange
35,ah
36,böwakawa
37,poussé
38,poussé
39,ah
40,böwakawa
41,poussé
42,poussé
43,ah
44,böwakawa
45,poussé
46,poussé
47,dream
48,dream
49,away
50,magic
51,air
52,magic
53,air
54,believe
55,yes
56,believe
57,cannot
58,say
59,say
60,river
61,sound
62,mirror
63,go
64,around
65,around
66,thought
67,could
68,feel
69,feel
70,feel
71,feel
72,pre-chorus
73,music
74,touching
75,soul
76,nhoj
77,something
78,warm
79,sudden
80,cold
81,nhoj
82,spirit
83,dance
84,unfolding
85,ah
86,böwakawa
87,poussé
88,poussé
89,ah
90,böwakawa
91,poussé
92,poussé
93,ah
94,böwakawa
95,poussé
96,poussé
97,outro
98,ah
99,böwakawa
100,poussé
101,poussé
102,ah
103,böwakawa
104,poussé
105,poussé
106,ah
107,böwakawa
108,poussé
109,poussé
110,ah
111,böwakawa
112,poussé
113,poussé
114,ah
115,böwakawa
116,poussé
117,poussé
118,ah
119,böwakawa
120,poussé
121,poussé
122,ah
123,böwakawa
124,poussé
125,poussé
126,ah
127,böwakawa
128,poussé
129,poussé
130,ah
131,böwakawa
132,poussé
133,poussé
134,ah
135,böwakawa
136,poussé
137,poussé
138,ah
139,böwakawa
140,poussé
141,poussé
