,Feel_Robbie Williams
0,come
1,hold
2,hand
3,wanna
4,contact
5,living
6,sure
7,understand
8,role
9,i've
10,given
11,sit
12,talk
13,god
14,laughs
15,plans
16,head
17,speaks
18,language
19,understand
20,wanna
21,feel
22,real
23,love
24,feel
25,home
26,live
27,cause
28,got
29,much
30,life
31,running
32,veins
33,going
34,waste
35,wanna
36,die
37,ain't
38,keen
39,living
40,either
41,fall
42,love
43,i'm
44,preparing
45,leave
46,scare
47,death
48,that's
49,keep
50,running
51,i've
52,arrived
53,see
54,coming
55,wanna
56,feel
57,real
58,love
59,feel
60,home
61,live
62,cause
63,got
64,much
65,life
66,running
67,veins
68,going
69,waste
70,need
71,feel
72,real
73,love
74,life
75,ever
76,get
77,enough
78,wanna
79,feel
80,real
81,love
82,feel
83,home
84,live
85,got
86,much
87,love
88,running
89,veins
90,go
91,waste
92,wanna
93,feel
94,real
95,love
96,life
97,ever
98,there's
99,hole
100,soul
101,see
102,face
103,real
104,big
105,place
106,come
107,hold
108,hand
109,wanna
110,contact
111,living
112,sure
113,understand
114,role
115,i've
116,given
117,sure
118,understand
119,sure
120,understand
121,sure
122,understand
123,sure
124,understand
