,My Immortal_Evanescence
0,i'm
1,tired
2,suppressed
3,childish
4,fears
5,leave
6,wish
7,would
8,leave
9,'cause
10,presence
11,still
12,lingers
13,leave
14,alone
15,pre-chorus
16,wounds
17,seem
18,heal
19,pain
20,real
21,there's
22,much
23,time
24,cannot
25,erase
26,cried
27,i'd
28,wipe
29,away
30,tears
31,scream
32,i'd
33,fight
34,away
35,fears
36,held
37,hand
38,years
39,still
40,used
41,captivate
42,resonating
43,light
44,i'm
45,bound
46,life
47,left
48,behind
49,face
50,haunts
51,pleasant
52,dreams
53,voice
54,chased
55,away
56,sanity
57,pre-chorus
58,wounds
59,seem
60,heal
61,pain
62,real
63,there's
64,much
65,time
66,cannot
67,erase
68,cried
69,i'd
70,wipe
71,away
72,tears
73,scream
74,i'd
75,fight
76,away
77,fears
78,held
79,hand
80,years
81,still
82,bridge
83,i've
84,tried
85,hard
86,tell
87,gone
88,though
89,still
90,i've
91,alone
92,along
93,chorus/outro
94,cried
95,i'd
96,wipe
97,away
98,tears
99,scream
100,i'd
101,fight
102,away
103,fears
104,held
105,hand
106,years
107,still
108,ah
109,ah
110,ah
