,Killing Me Softly With His Song_Roberta Flack
0,strumming
1,pain
2,fingers
3,singing
4,life
5,words
6,killing
7,softly
8,song
9,killing
10,softly
11,song
12,telling
13,whole
14,life
15,words
16,killing
17,softly
18,song
19,heard
20,sang
21,good
22,song
23,heard
24,style
25,came
26,see
27,listen
28,young
29,boy
30,stranger
31,eyes
32,strumming
33,pain
34,fingers
35,singing
36,life
37,words
38,killing
39,softly
40,song
41,killing
42,softly
43,song
44,telling
45,whole
46,life
47,words
48,killing
49,softly
50,song
51,felt
52,flushed
53,fever
54,embarassed
55,crowd
56,felt
57,found
58,letters
59,read
60,one
61,loud
62,prayed
63,would
64,finish
65,kept
66,right
67,strumming
68,pain
69,fingers
70,singing
71,life
72,words
73,killing
74,softly
75,song
76,killing
77,softly
78,song
79,telling
80,whole
81,life
82,words
83,killing
84,softly
85,song
86,sang
87,knew
88,dark
89,despair
90,looked
91,right
92,kept
93,singing
94,singing
95,clear
96,strong
97,strumming
98,pain
99,fingers
100,singing
101,life
102,words
103,killing
104,softly
105,song
106,killing
107,softly
108,song
109,telling
110,whole
111,life
112,words
113,killing
114,softly
115,song
116,bridge
117,ohhhh
118,ohhhh
119,ohhhh
120,ohh
121,ohh
122,ohh
123,ohh
124,ohh
125,ohh
126,ohh
127,la
128,la
129,la
130,la
131,la
132,la
133,ohh
134,ohh
135,ohh
136,ohh
137,ohh
138,ohh
139,la
140,ahh
141,ahhhhhh
142,haaaaaaaaaaaaaa
143,ha
144,ahh
145,ahh
146,ahh
147,ahh
148,ahh
149,ahh
150,strumming
151,pain
152,fingers
153,singing
154,life
155,words
156,killing
157,softly
158,song
159,killing
160,softly
161,song
162,telling
163,whole
164,life
165,words
166,killing
167,softly
168,outro
169,strumming
170,pain
171,yeah
172,singing
173,life
174,killing
175,softly
176,song
177,killing
178,softly
179,song
180,telling
181,whole
182,life
183,words
184,killing
185,softly
186,song
